,Auteur,Identifiant auteur,Titre,Directeur de these,Directeur de these (nom prenom),Identifiant directeur,Etablissement de soutenance,Identifiant etablissement,Discipline,Statut,Date de premiere inscription en doctorat,Date de soutenance,Year,Langue de la these,Identifiant de la these,Accessible en ligne,Publication dans theses.fr,Mise a jour dans theses.fr,Discipline_prÃ©di,Genre,etablissement_rec,Langue_rec
18,Fanny Arnaud,,Approche anthropologique de l'articulation entre tourisme et memoire en Croatie.,Elisabeth Claverie,Claverie Elisabeth,76120333,"Paris, EHESS",26374889,Anthropologie,enCours,03-12-10,,,na,s20023,non,26-09-11,05-04-16,SHS,female,EHESS,NA
19,Nicole Abravanel,,"Le monde sepharade, une culture a l'epreuve de la longue duree.",Enric Porqueres i Gene,Porqueres i Gene Enric,34563598,"Paris, EHESS",26374889,Histoire,enCours,15-12-10,,,na,s20035,non,26-09-11,05-04-16,SHS,female,EHESS,NA
20,Ioana Raluca Andreescu,,Robinson dans l'ile de la Pape. Representations du systeme social dans la litterature ilienne europeenne de l'apres-guerre,"Annick Louis,Jean-Louis Fabiani","Louis Annick,Fabiani Jean-Louis","348,740,620","Paris, EHESS",26374889,Arts et langages,enCours,09-11-10,,,na,s20039,non,26-09-11,04-04-16,Biologie,female,EHESS,NA
21,Cyrille serge Atonfack guemo,,Reflexions sur le droit de la surete maritime : le cas des etats riverains du golfe de guinee,Armel Kerrest,Kerrest Armel,74993461,Brest,26403021,Droit public,enCours,21-09-09,,,na,s20041,non,26-09-11,17-04-13,Droit et Science Politique,mostly_male,Université de Bretagne Occidentale,NA
22,Walid El nabal,,Les transferts de creances a travers le prisme de la Convention des Nations-Unies sur la cession de creances dans le commerce international,Eric Savaux,Savaux Eric,34892133,Poitiers,26403765,Droit prive,enCours,01-02-04,09-12-10,2010.0,na,s14754,non,26-09-11,05-04-16,Droit et Science Politique,male,Université de Poitiers,NA
23,Alda Ayessa,,La francophonie et la protection des industries culturelles d'Afrique noire francophone : cas du Congo Brazzaville,Albert Lourde,Lourde Albert,80306373,Perpignan,26403692,Droit prive,enCours,01-01-03,11-07-13,2013.0,na,s8935,non,26-09-11,12-04-16,Droit et Science Politique,female,Université de Perpignan Via Domitia,NA
24,Alban Deberdt,,L'objet du capital social dans les societes.,Francoise Dekeuwer-Defossez,Dekeuwer-Defossez Francoise,26818094,Lille 2,26404389,Droit prive,enCours,01-12-03,07-11-11,2011.0,na,s10712,non,26-09-11,04-04-16,Droit et Science Politique,male,Université de Lille,NA
25,Ludiane Volpi,,De l'influence respective du juge penal et du juge civil,Yves Strickler,Strickler Yves,56260911,Strasbourg,131056549,Droit penal et sciences criminelles,enCours,01-12-03,01-12-09,2009.0,na,s10765,non,26-09-11,14-11-11,Droit et Science Politique,unknown,Université de Strasbourg,NA
26,Frantz Jenot,,Etude prospective sur une filiere agricole territorialisee. Quel projet pour la filiere caprine de Poitou-Charentes ?,Yves Jean,Jean Yves,na,Poitiers,26403765,Geographie,enCours,01-12-03,07-03-08,2008.0,na,s11818,non,26-09-11,19-12-11,SHS,male,Université de Poitiers,NA
27,Pum Huot,,La dollarisation et ses consequences economiques : le cas du Cambodge : le cas du cambodge.,Jean-Francois Goux,Goux Jean-Francois,26899361,Lyon 2,02640334X,Sciences economiques,enCours,01-05-03,21-03-08,2008.0,na,s11875,non,26-09-11,04-04-16,Economie Gestion,unknown,Université Lumière - Lyon 2,NA
28,Sonia Altuna delgado,,La politique culturelle sous la revolution castriste.,Nestor Ponce,Ponce Nestor,na,Rennes 2,54447658,Etudes hispaniques,enCours,10-11-06,,,na,s18151,non,26-09-11,22-01-15,Biologie,female,Université Rennes 2,NA
29,Joel Appriou,,L'eau domestique en ete sur le littoral du morbihan : gestion et conflits d'usage.,Herve Regnauld,Regnauld Herve,28822277,Rennes 2,54447658,Geographie,enCours,10-11-06,,,na,s18171,non,26-09-11,05-04-16,SHS,male,Université Rennes 2,NA
30,Celine Adout,,"Fracture numerique et usages des technologies de l'information communication dans l'enseignement superieur. l'introduction des tic au sein du reesao : impacts institutionnels, scientifiques et educatifs.",Yves Chevalier,Chevalier Yves,na,Rennes 2,54447658,Sciences de l'information et de la communication,enCours,10-11-06,,,na,s18174,non,26-09-11,22-01-15,SHS,unknown,Université Rennes 2,NA
31,Zlatka Denie (Atanasova),,Jugements de responsabilite et attribution de sanction : l'influence des motivations a punir (ou philosophies penales).,Alain Somat,Somat Alain,52202119,Rennes 2,54447658,Psychologie,enCours,10-11-06,,,na,s18175,non,26-09-11,22-01-15,Psychologie,female,Université Rennes 2,NA
32,Thuraya Al zoubi,,Impact de ladhesion de la Jordanie a lorganisation mondiale du commerce sur ses lois internes,Jean-Yves de Cara,Cara Jean-Yves de,50128094,Paris 5,26404788,Droit public,enCours,12-12-06,29-09-11,2011.0,na,s18192,non,26-09-11,05-04-16,Droit et Science Politique,female,Université de Paris,NA
33,Shakir Alsaadi,,"Marx, feuerbach et la theologie",Bernard Mabille,Mabille Bernard,na,Poitiers,26403765,"Philosophie (metaphysique, epistemologie, esthetique)",enCours,20-02-07,,,na,s18208,non,26-09-11,22-01-15,SHS,male,Université de Poitiers,NA
34,Francisco Alavez segura,,Developpement toutistique et durabilite,Maria Gravari-Barbas,Gravari-Barbas Maria,71587683,Angers,26402920,Geographie,enCours,01-12-06,,,na,s18228,non,26-09-11,05-04-16,SHS,male,Université d'Angers,NA
35,Sarah Avril,,Les principes generaux du droit communautaire et le juge administra,Armel Pecheul,Pecheul Armel,27062023,Angers,26402920,Droit public,enCours,01-12-06,,,na,s18229,non,26-09-11,22-01-15,Droit et Science Politique,female,Université d'Angers,NA
36,Serge Ayekoe,,Portefeuille de magasin et phenomene de migration des consommateurs: approche explicative,Paul Ngobo,Ngobo Paul,123637899,Orleans,26402971,Sciences de gestion,enCours,01-12-06,,,na,s18230,non,26-09-11,05-04-16,Economie Gestion,male,Université d'Orléans,NA
37,Rouheddin Kordalivand,,L'actualite juridique de l'esclavage.,Michel Masse,Masse Michel,na,Poitiers,26403765,Droit penal et sciences criminelles,enCours,01-05-04,,,na,s14848,non,26-09-11,10-09-14,Droit et Science Politique,unknown,Université de Poitiers,NA
38,Jean Akl,,Les biens maritimes au liban situation et solutions.,Sylvie Caudal,Caudal Sylvie,67298788,Lyon 3,26404494,Droit public,enCours,01-01-04,04-07-11,2011.0,na,s14861,non,26-09-11,27-01-12,Droit et Science Politique,male,Université Jean Moulin - Lyon 3,NA
39,Faycal Bouzennout,,Le double effet du phenomene terroriste sur le droit international humanitaire,Serge Sur,Sur Serge,na,Paris 2,26403145,Droit international,enCours,01-01-03,15-12-11,2011.0,na,s9147,non,26-09-11,04-04-16,Droit et Science Politique,male,Université Panthéon-Assas,NA
40,Stephane Orsini,,Feodalite et presence monastique en corse. l'exemple de la castagniccia (fin du ix-milieu du xiv siecle).,Jean-Andre Cancellieri,Cancellieri Jean-Andre,31880460,Corte,29473284,Histoire,enCours,01-03-03,,,na,s12135,non,26-09-11,21-05-12,SHS,unknown,Université de Corse Pasquale Paoli,NA
41,Jeremy Morvan,,Investissement socialement responsable definitin respect et impact des criteres ethiques dans la gestion de valeurs mobilieres.,Christian Cadiou,Cadiou Christian,30224187,Brest,26403021,Sciences de gestion,enCours,01-02-03,29-11-05,2005.0,na,s8436,non,26-09-11,27-02-12,Economie Gestion,male,Université de Bretagne Occidentale,NA
42,Angelique Tourtin (Mafille),,La notion d'acte administrative unilateral.,Mathieu Doat,Doat Mathieu,70707057,Brest,26403021,Droit public,enCours,01-12-04,05-12-11,2011.0,na,s8437,non,26-09-11,24-02-12,Droit et Science Politique,female,Université de Bretagne Occidentale,NA
43,Mohcin Mansour,,L'interaction entre democratie et developpement. Contribution a l'etude historique du developpement economique et du changement politique au Maroc,Didier Baisset,Baisset Didier,109048350,Perpignan,26403692,Droit public,enCours,01-12-02,13-07-11,2011.0,na,s12206,non,26-09-11,18-07-13,Droit et Science Politique,unknown,Université de Perpignan Via Domitia,NA
44,Linda Ben Fekih,,Monitoring electronique : attitudes et comportements. Cas des centres d'appels,Frederic Wacheux,Wacheux Frederic,34479694,Paris 9,27787109,Sciences de gestion,enCours,01-05-03,10-10-12,2012.0,na,s6684,non,26-09-11,04-04-16,Economie Gestion,female,Université Paris sciences et lettres,NA
45,Roula Al daia,,Developpement durable et entreprises : nouvelles approches et nouvel impact technologique. Le cas de l'industrie automobile en France,Marc Guillaume,Guillaume Marc,na,Paris 9,27787109,Sciences economiques,enCours,01-05-03,26-01-07,2007.0,na,s6685,non,26-09-11,06-02-12,Economie Gestion,female,Université Paris sciences et lettres,NA
46,Laurie Freger,,Les frais de justice sous l'ancien regime dans les juridictions normandes et bretonnes.,Marie-Yvonne Crepin,Crepin Marie-Yvonne,77004345,Rennes 1,02778715X,Histoire du droit et des institutions,enCours,01-02-03,02-12-06,2006.0,na,s6787,non,26-09-11,06-04-16,Droit et Science Politique,female,Université de Rennes 1,NA
47,Caroline Tardot,,L'evaluation des salaries en droit du travail.,Jean-michel Gasse,Gasse Jean-michel,na,Universite de Lorraine,157040569,Droit prive,enCours,01-11-04,,,na,s10453,non,26-09-11,28-06-13,Droit et Science Politique,female,Université de Lorraine,NA
48,Ekaterina yurievna Rachedi (Myslivets),,Relations auteur-traducteur-lecteur a travers l'art de la traduction et la communication interculturelle.,Rene Agostini,Agostini Rene,60917423,Avignon,26369044,Sciences du langage,enCours,01-10-03,26-11-08,2008.0,na,s12700,non,26-09-11,05-04-16,Langues et Litteratures,female,Avignon Université,NA
49,Matthieu Develay,,Le role des motifs dans le droit contemporain des contrats.,Denis Mazeaud,Mazeaud Denis,31706460,Rennes 1,02778715X,Droit prive,enCours,01-02-03,29-09-09,2009.0,na,s6791,non,26-09-11,04-04-16,Droit et Science Politique,male,Université de Rennes 1,NA
50,Nicolas Kermabon,,Le douaire des duchesses de bretagne du x au xvi siecle.,Christiane Plessix-Buisset,Plessix-Buisset Christiane,29128315,Rennes 1,02778715X,Histoire du droit et des institutions,enCours,01-01-03,06-12-07,2007.0,na,s6804,non,26-09-11,05-04-16,Droit et Science Politique,male,Université de Rennes 1,NA
51,Julia Bastide,,Caracterisation des echanges morphosedimentaires aux abords des estuaires macrotidaux.,Edward Anthony,Anthony Edward,na,Littoral,30969379,Geographie physique,enCours,01-01-03,31-03-11,2011.0,na,s8630,non,26-09-11,07-02-12,SHS,female,Université du Littoral Côte dOpale,NA
52,Pierre-gael Baron,,Les instruments juridiques de la regulation pharmaceutique.,Emmanuel Cadeau,Cadeau Emmanuel,53520777,Nantes,26403447,Droit public,enCours,01-01-04,24-10-12,2012.0,na,s13277,non,26-09-11,04-04-16,Droit et Science Politique,male,Université de Nantes,NA
53,Anne Bouchet (Gallais),,Les autoroutes de la mer et le droit de l'Union Europeenne.,Patrick Chaumette,Chaumette Patrick,03260100X,Nantes,26403447,Droit public,enCours,01-12-03,18-02-13,2013.0,na,s13278,non,26-09-11,04-04-16,Droit et Science Politique,female,Université de Nantes,NA
54,Francois Gaudin,,Maurice LACHATRE (1814-1900) : Portrait d'un editeur et lexicographe socialiste.,Jean-Yves Mollier,Mollier Jean-Yves,27033732,Versailles-St Quentin en Yvelines,03082057X,Histoire moderne et contemporaine,enCours,01-04-04,05-10-04,2004.0,na,s13393,non,26-09-11,04-04-16,SHS,unknown,Université de Versailles Saint-Quentin-en-Yvelines,NA
55,Valerie Valey,,La construction d'une politique coloniale : la france en afrique orientale dans la seconde moitie du xix siecle.,Olivier Petre-Grenouilleau,Petre-Grenouilleau Olivier,34420533,Lorient,05017746X,Histoire,enCours,01-11-04,,,na,s7027,non,26-09-11,30-03-15,SHS,female,Université Bretagne Sud,NA
56,Ekaterina Andreeva,,Les pratiques des touristes russes en France : analyse comparee du XIXeme siecle a nos jours.,Philippe Violier,Violier Philippe,51621770,Angers,26402920,Geographie,enCours,01-07-03,02-11-06,2006.0,na,s7074,non,26-09-11,21-12-11,SHS,female,Université d'Angers,NA
57,Veronique Imbert,,Etude des effets de l'age et de la connotation affective de l'information en fonction du niveau de conscience a l'encodage,Brigitte Le Bouedec,Le Bouedec Brigitte,82024065,Angers,26402920,Psychologie,enCours,01-02-02,07-12-04,2004.0,na,s7087,non,26-09-11,05-04-16,Psychologie,female,Université d'Angers,NA
58,Bruce Maulini,,La pensee politique du marquis d'Argenson.,Jean-Louis Harouel,Harouel Jean-Louis,26915057,Paris 2,26403145,Histoire du droit et des institutions,enCours,01-09-03,,,na,s9264,non,26-09-11,04-04-16,Droit et Science Politique,male,Université Panthéon-Assas,NA
59,Alexandra Kladaki (Motsenigou),,Constantin Karyotakis traducteur : un mediateur entre cultures,Marie-Paule Masson-Vincourt,Masson-Vincourt Marie-Paule,32942060,Montpellier 3,26404702,Sciences du langage,enCours,01-03-03,01-02-07,2007.0,na,s9282,non,26-09-11,04-04-16,Langues et Litteratures,female,Université Paul-Valéry - Montpellier 3,NA
60,Thomas Fontaine,,Les garanties en financement de projet.,Dominique Legeais,Legeais Dominique,02930153X,Paris 5,26404788,Droit prive,enCours,01-10-03,28-11-08,2008.0,na,s11588,non,26-09-11,05-01-12,Droit et Science Politique,male,Université de Paris,NA
61,Catherine Menciassi (Authier),,"De Tancrede a norma, la construction d'une Diva internationale: giuditta Pasta (1797-1865)",Jean-Yves Mollier,Mollier Jean-Yves,27033732,Versailles-St Quentin en Yvelines,03082057X,Histoire,enCours,01-05-04,09-03-09,2009.0,na,s13504,non,26-09-11,04-04-16,SHS,female,Université de Versailles Saint-Quentin-en-Yvelines,NA
62,Frederic Chataigner,,Les editions Alain Moreau et la Pensee Universelle : un essai d'industrialisation du compte d'auteur dans les annees 1970-1990,Jean-Yves Mollier,Mollier Jean-Yves,27033732,Versailles-St Quentin en Yvelines,03082057X,Histoire,enCours,01-05-04,28-09-07,2007.0,na,s13505,non,26-09-11,04-04-16,SHS,male,Université de Versailles Saint-Quentin-en-Yvelines,NA
63,Arnaud Francois,,Bergson et l'ontologie de la volonte.,Frederic Worms,Worms Frederic,31296971,Lille 3,26404524,"Philosophie (metaphysique, epistemologie, esthetique)",enCours,01-06-03,06-12-05,2005.0,na,s7583,non,26-09-11,04-04-16,SHS,male,Université de Lille,NA
64,Wen-chi Lu,,Contribution au suivi automatique de trajectoires par un avion : commande plate et reseaux de neurones.,Felix Mora-Camino,Mora-Camino Felix,31071627,Toulouse 2,26403994,Informatique,enCours,01-07-03,12-12-05,2005.0,na,s9871,non,26-09-11,04-04-16,Informatique,andy,Université Toulouse - Jean Jaurès,NA
65,Tarik Khoutaif,,Etude et modelisation des liens synchrones bluetooth pour une architecture des systemes temps reels communicants.,"Thierry Val,Fabrice Peyrard","Val Thierry,Peyrard Fabrice","113,464,657",Toulouse 2,26403994,Mathematiques et informatique appliquees aux sciences sociales (miass),enCours,01-07-03,11-07-07,2007.0,na,s9888,non,26-09-11,04-04-16,"Materiaux, Milieux et Chimie",male,Université Toulouse - Jean Jaurès,NA
66,Anis Bennani,,Lide et son impact sur la croissance cas de leconomie tunisienne,Bertrand Maximin,Maximin Bertrand,69324514,Paris 5,26404788,Sciences economiques,enCours,01-09-03,29-09-11,2011.0,na,s11632,non,26-09-11,06-12-11,Economie Gestion,male,Université de Paris,NA
67,Antoine Sfeir,,Le terrorisme : quelle conception apres le 11 septembre 2001.,Edmond Jouve,Jouve Edmond,26941848,Paris 5,26404788,Science politique,enCours,01-02-03,07-06-07,2007.0,na,s11638,non,26-09-11,16-11-11,Droit et Science Politique,male,Université de Paris,NA
68,Wael Abdallah,,Le compte bancaire : analyse comparee des droits francais et libanais.,Alexis Constantin,Constantin Alexis,76655822,Rennes 1,02778715X,Droit prive,enCours,01-03-03,09-02-10,2010.0,na,s11657,non,26-09-11,04-04-16,Droit et Science Politique,male,Université de Rennes 1,NA
69,Hakem Alserhan,,La definition du crime contre l'humanite dans la jurisprudence des tribunaux penaux internationaux ad hoc,Bernadette Aubert,Aubert Bernadette,na,Poitiers,26403765,Droit penal et sciences criminelles,enCours,01-03-03,11-07-11,2011.0,na,s11795,non,26-09-11,28-03-12,Droit et Science Politique,unknown,Université de Poitiers,NA
70,Mehdi Kamel Saghian,,L'evolution des droits de la victime dans les procedures penales francaise et iranienne.,Michel Masse,Masse Michel,na,Poitiers,26403765,Droit penal et sciences criminelles,enCours,01-07-03,07-09-09,2009.0,na,s11802,non,26-09-11,28-03-12,Droit et Science Politique,male,Université de Poitiers,NA
71,Sylwia Ozdowska,,"Alibis, un systeme d'alignement bilingue a base de regles de propagation syntaxique.",Marie-Paule Pery-Woodley,Pery-Woodley Marie-Paule,32547196,Toulouse 2,26403994,Sciences du langage,enCours,01-02-03,14-12-06,2006.0,na,s10083,non,26-09-11,05-04-16,Langues et Litteratures,female,Université Toulouse - Jean Jaurès,NA
72,Jihad Rizkallah,,Les joint ventures.,Herve Lecuyer,Lecuyer Herve,54375363,Paris 2,26403145,Droit prive,enCours,01-10-03,,,na,s14106,non,26-09-11,29-03-13,Droit et Science Politique,male,Université Panthéon-Assas,NA
73,Jad Khalike,,"Le traitement fiscal compare des benefices des societes de capitaux (France, Liban, Belgique, Dubai et Royaume- Uni)",Jean-Pierre Fradin,Fradin Jean-Pierre,07414524X,Poitiers,26403765,Droit public,enCours,01-01-04,14-11-08,2008.0,na,s14121,non,26-09-11,05-04-16,Droit et Science Politique,male,Université de Poitiers,NA
74,Helene Bovyn,,Le conflit entre le droit interne et les obligations internationales de l'Etat - Point de vue du droit international,Jean Combacau,Combacau Jean,26796007,Paris 2,26403145,Droit international,enCours,01-01-04,01-12-11,2011.0,na,s14129,non,26-09-11,04-04-16,Droit et Science Politique,female,Université Panthéon-Assas,NA
75,Nadia Bantiti,,Les droits de l'enfant. Etude de droit public,Pascal Mbongo,Mbongo Pascal,50656686,Poitiers,26403765,Droit public,enCours,01-01-04,21-03-12,2012.0,na,s14148,non,26-09-11,28-03-12,Droit et Science Politique,female,Université de Poitiers,NA
76,Mehmet manifi Bayram,,L'adaptation des entreprises economiques publiques (e.e.p.) a la reglementation communautaire dans la perspective de l'adhesion de la turquie a l'union europeenne,Jean-pierre Chevalier,Chevalier Jean-pierre,na,Poitiers,26403765,Science politique,enCours,01-02-04,13-04-01,2001.0,na,s14179,non,26-09-11,28-03-12,Droit et Science Politique,male,Université de Poitiers,NA
77,Jennifer Capitaine,,Le principe de legalite penale dans les droits europeens.,Jacqueline Flauss-Diem,Flauss-Diem Jacqueline,71394303,Amiens,26403714,Droit penal et sciences criminelles,enCours,01-10-04,03-12-11,2011.0,na,s16338,non,26-09-11,05-04-16,Droit et Science Politique,female,Université de Picardie Jules-Verne,NA
78,Juliette Vanard,,Le droit de la distribution a l'epreuve d'internet.,Alexis Constantin,Constantin Alexis,76655822,Rennes 1,02778715X,Droit prive,enCours,01-10-04,13-05-09,2009.0,na,s16851,non,26-09-11,04-04-16,Droit et Science Politique,female,Université de Rennes 1,NA
79,Gilles Deshayes,182410528,"Le cellier medieval en Normandie orientale : contribution a l'etude des utilisations, implantations et architectures des caves et celliers dans la Normandie orientale du second Moyen Age, principalement dans les etablissements monastiques",Anne-Marie Flambard Hericher,Flambard Hericher Anne-Marie,03392337X,Rouen,26403919,Histoire et archeologie medievales,soutenue,,01-01-15,2015.0,fr,2015ROUEL001,non,26-09-11,31-07-15,SHS,male,Université de Rouen Normandie,Français
80,Rodrigue Abi-khalil,,Les repercussions de la mondialisation sur le droit international : d'un droit international a un droit mondial.,"Jean-pierre Dhommeaux,Raymond Haddad","Dhommeaux Jean-pierre,Haddad Raymond",na,Rennes 1,02778715X,Science politique,enCours,14-12-07,,,na,s18566,non,26-09-11,22-01-15,Droit et Science Politique,male,Université de Rennes 1,NA
81,Cecile-marie Simoni,,Les problemes juridiques poses par les emissions de tele-realite.,Jean-Claude Acquaviva,Acquaviva Jean-Claude,31362621,Corte,29473284,Droit public,enCours,01-11-04,,,na,s17263,non,26-09-11,05-04-16,Droit et Science Politique,female,Université de Corse Pasquale Paoli,NA
82,Ramassinga Talla,,L'union europeenne et l'octroi du droit d'asile aux ressortissants africains,Dominique Breillat,Breillat Dominique,34629564,Poitiers,26403765,Droit public,enCours,01-09-02,21-07-11,2011.0,na,s17345,non,26-09-11,28-03-12,Droit et Science Politique,unknown,Université de Poitiers,NA
83,Gilles Arbousset,,Le traitement de la croisade contre les albigeois dans les manuels de l'ecole primaire.,Philippe Martel,Martel Philippe,na,Montpellier 3,26404702,Etudes occitanes,enCours,01-11-05,,,na,s17735,non,26-09-11,22-01-15,Biologie,male,Université Paul-Valéry - Montpellier 3,NA
84,Vincent Audru,,Les catholiques dans le diocese de poitiers de 1918 a 1936.,Gerard Baal,Baal Gerard,32897979,Poitiers,26403765,Histoire des religions,enCours,02-06-06,,,na,s17758,non,26-09-11,06-04-16,SHS,male,Université de Poitiers,NA
85,Guilhem Armand,,Les fictions a vocation scientifique de Cyrano de Bergerac a Diderot : vers une poetique hybride,"Jean-Michel Racault,Aurelia Gaillard","Racault Jean-Michel,Gaillard Aurelia","283,003,190",La Reunion,26404451,Litteratures francaise et francophone,enCours,01-09-05,05-12-09,2009.0,na,s17771,non,26-09-11,05-04-16,Langues et Litteratures,male,Université de La Réunion,NA
86,Eva Almudever,,"La justice municipale en languedoc, au xviiie siecle.",Philippe Nelidoff,Nelidoff Philippe,34559833,Toulouse 1,26404354,Histoire du droit et des institutions,enCours,01-11-05,,,na,s17775,non,26-09-11,22-01-15,Droit et Science Politique,female,Université Toulouse Capitole,NA
